Ticker,Model,Last_Actual_Price,Day1_Forecast,Day5_Forecast,Weighted_Avg,Trend,Day1_PI,Day5_PI
BARC.L,RF,452.850,453.084,454.020,453.341,UP,"[437.058, 469.697]","[418.894, 492.090]"
LLOY.L,RF,102.450,102.505,102.723,102.565,UP,"[99.425, 105.679]","[95.951, 109.973]"
HSBA.L,RF,1393.600,1394.670,1398.960,1395.849,UP,"[1362.018, 1428.105]","[1326.780, 1475.066]"
