Ticker,Day,Date,Forecast_Price,Weight,Weighted_Contribution,PI_Lower,PI_Upper,Signal
LLOY.L,1,2026-03-02,103.09473628065057,0.5,51.54736814032528,99.97552210254845,106.31126925123564,UP ▲
LLOY.L,2,2026-03-03,103.58060540641095,0.2,20.716121081282193,99.17651890493256,108.18026217115998,UP ▲
LLOY.L,3,2026-03-04,104.00475570409972,0.1,10.400475570409974,98.61495282882414,109.68913839917963,UP ▲
LLOY.L,4,2026-03-05,104.38801459322991,0.1,10.438801459322992,98.16688610445978,111.00339455731532,UP ▲
LLOY.L,5,2026-03-06,104.74068778442908,0.1,10.47406877844291,97.78674464130852,112.18914913055494,UP ▲
