Ticker,lookback,units,layers,dropout,lr,batch_size,val_rmse_logret
LLOY.L,21,64,2,0.2,0.001,32,0.08102246641165091
LLOY.L,21,64,2,0.2,0.0005,32,0.08110230656878899
LLOY.L,21,32,2,0.3,0.001,32,0.08159935739079903
LLOY.L,21,64,2,0.3,0.0005,32,0.08175813649752817
LLOY.L,21,64,1,0.5,0.001,32,0.08220764212487558
LLOY.L,126,128,1,0.2,0.001,32,0.08226678296768941
LLOY.L,21,64,1,0.3,0.0005,32,0.0823524729243109
LLOY.L,126,128,1,0.5,0.001,32,0.08239360076831141
LLOY.L,126,128,2,0.3,0.001,32,0.08255106111827862
LLOY.L,126,128,2,0.2,0.001,32,0.08257243224112935
LLOY.L,126,96,2,0.2,0.0005,32,0.08269299058890385
LLOY.L,126,128,1,0.5,0.0005,32,0.08270719606730745
LLOY.L,126,96,1,0.2,0.001,32,0.0827408033036967
LLOY.L,21,32,1,0.2,0.0005,32,0.08279150531502406
LLOY.L,21,32,1,0.2,0.001,64,0.08283642666209602
LLOY.L,126,96,2,0.5,0.0005,64,0.08287901650981744
LLOY.L,126,128,2,0.5,0.001,32,0.08301706943751612
LLOY.L,126,128,1,0.2,0.0005,32,0.08308160836815684
LLOY.L,63,64,2,0.2,0.001,32,0.083393110281577
LLOY.L,126,128,1,0.3,0.0005,32,0.08368660312786959
LLOY.L,21,32,1,0.3,0.001,32,0.0841322037859636
LLOY.L,63,64,2,0.2,0.001,64,0.0841445726793186
LLOY.L,63,64,1,0.5,0.001,32,0.0841784731726806
LLOY.L,126,96,1,0.5,0.0005,32,0.08448071231825975
LLOY.L,126,128,1,0.5,0.0005,64,0.08451358799074062
LLOY.L,126,96,1,0.5,0.0005,64,0.08458402206862534
LLOY.L,63,96,1,0.5,0.001,64,0.08481370231292207
LLOY.L,63,64,2,0.3,0.0005,32,0.08502932976850168
LLOY.L,126,128,1,0.2,0.0005,64,0.08510864089573657
LLOY.L,63,64,2,0.3,0.0005,64,0.08526159969378683
LLOY.L,21,64,2,0.2,0.0005,64,0.08578214658923061
LLOY.L,126,96,1,0.3,0.0005,32,0.08601505027696395
LLOY.L,63,64,2,0.3,0.001,32,0.08603442138895862
LLOY.L,126,128,2,0.2,0.001,64,0.08624105921189937
LLOY.L,63,64,1,0.2,0.0005,64,0.08638849884311016
LLOY.L,126,96,2,0.3,0.001,64,0.08672864763036502
LLOY.L,126,128,1,0.2,0.001,64,0.08797842562758203
LLOY.L,126,128,1,0.3,0.0005,64,0.08816141216956949
LLOY.L,126,96,2,0.3,0.0005,64,0.08873295437685005
LLOY.L,63,64,2,0.3,0.001,64,0.08934802814756025
LLOY.L,63,64,2,0.2,0.0005,64,0.08942080395110856
LLOY.L,63,64,2,0.5,0.0005,64,0.09174670430774168
LLOY.L,21,32,2,0.3,0.0005,32,0.09190588979502863
LLOY.L,63,96,1,0.2,0.0005,32,0.09265719303258435
LLOY.L,63,96,1,0.3,0.0005,32,0.09277353432903324
LLOY.L,63,96,2,0.5,0.001,32,0.09328594035672061
LLOY.L,21,64,1,0.2,0.001,64,0.09349867006879238
LLOY.L,63,96,2,0.2,0.0005,32,0.09354984280018559
LLOY.L,63,96,1,0.2,0.001,32,0.09408431872055253
LLOY.L,21,64,2,0.3,0.001,64,0.09552707543231222
