Ticker,Day,Date,Forecast_Price,Weight,Weighted_Contribution,PI_Lower,PI_Upper,Signal
HSBA.L,1,2026-03-02,1398.3253687491476,0.5,699.1626843745738,1365.2813756563512,1432.1691277356167,UP
HSBA.L,2,2026-03-03,1402.5477513081637,0.2,280.50955026163274,1355.9058481057987,1450.794092707604,UP
HSBA.L,3,2026-03-04,1406.6876778978137,0.1,140.66876778978138,1349.610600302104,1466.1786316042605,UP
HSBA.L,4,2026-03-05,1410.9797783607573,0.1,141.09797783607573,1345.0816495880263,1480.106382800432,UP
HSBA.L,5,2026-03-06,1415.4125733828073,0.1,141.54125733828073,1341.7113345188209,1493.162278165161,UP
