Ticker,Model,Avg_Interval_Width,Coverage_Rate_%,Mean_Actual_Price,Winkler_Score_Raw,Winkler_Score_Norm,Dir_Accuracy_%,PI_Method
BARC.L,GRU,26.874914051124847,91.43968871595331,376.80122298303746,41.251439020229896,0.10947798601515399,43.75,Empirical (residual std)
LLOY.L,GRU,5.17713414092684,92.99610894941634,84.41339633808062,7.283764996895137,0.0862868373133955,45.3125,Empirical (residual std)
HSBA.L,GRU,47.97832871314079,91.05058365758755,1003.2626050659654,102.76746758705413,0.10243326828701751,51.953125,Empirical (residual std)
