Ticker,Day,Date,Forecast_Price,Weight,Weighted_Contribution,PI_Lower,PI_Upper,Signal
HSBA.L,1,2026-03-02,1394.6702990073718,0.5,697.3351495036859,1362.018033222205,1428.1053521234692,UP
HSBA.L,2,2026-03-03,1395.741444466871,0.2,279.1482888933742,1349.7538132030768,1443.2959260766816,UP
HSBA.L,3,2026-03-04,1396.813412595782,0.1,139.6813412595782,1340.6575396422484,1455.3214761527524,UP
HSBA.L,4,2026-03-05,1397.8862040259385,0.1,139.78862040259386,1333.1973131007874,1465.7139046141492,UP
HSBA.L,5,2026-03-06,1398.9598193896584,0.1,139.89598193896583,1326.780318609977,1475.0660292557866,UP
