Ticker,p,d,q,Trend,Window,Val_MAPE,Order
HSBA.L,1,0,1,c,21,0.007337657236591353,"(1,0,1)"
HSBA.L,2,0,3,c,63,0.0073523976837643785,"(2,0,3)"
HSBA.L,3,0,0,c,63,0.0074058861702710555,"(3,0,0)"
HSBA.L,3,0,2,c,63,0.0074382124370997605,"(3,0,2)"
HSBA.L,1,0,1,c,63,0.007444500302583237,"(1,0,1)"
HSBA.L,0,0,3,c,63,0.007493704962831417,"(0,0,3)"
HSBA.L,2,0,0,c,63,0.007503440152235879,"(2,0,0)"
HSBA.L,3,0,2,c,21,0.0075091995953181865,"(3,0,2)"
HSBA.L,1,0,0,c,63,0.0075162938598705275,"(1,0,0)"
HSBA.L,0,0,1,c,63,0.0075269302321026976,"(0,0,1)"
HSBA.L,1,0,3,c,63,0.007532199789746608,"(1,0,3)"
HSBA.L,0,0,0,c,63,0.007547498413058817,"(0,0,0)"
HSBA.L,3,0,0,c,126,0.007587712665620853,"(3,0,0)"
HSBA.L,1,0,0,c,126,0.007596641393548852,"(1,0,0)"
HSBA.L,0,0,1,c,126,0.00761195083651192,"(0,0,1)"
HSBA.L,0,0,0,c,21,0.007635965047184358,"(0,0,0)"
HSBA.L,2,0,1,c,63,0.007636869688983203,"(2,0,1)"
HSBA.L,2,0,1,c,252,0.007641297808285604,"(2,0,1)"
HSBA.L,3,0,0,c,21,0.007641756505960289,"(3,0,0)"
HSBA.L,0,0,1,c,21,0.007645089604878486,"(0,0,1)"
HSBA.L,2,0,0,c,126,0.007647266992005674,"(2,0,0)"
HSBA.L,1,0,0,c,21,0.0076489643523239385,"(1,0,0)"
HSBA.L,2,0,2,c,63,0.00765253934691726,"(2,0,2)"
HSBA.L,0,0,0,c,126,0.007652666396044752,"(0,0,0)"
HSBA.L,0,0,1,c,252,0.0076793843599284,"(0,0,1)"
HSBA.L,3,0,0,c,252,0.007681706469916469,"(3,0,0)"
HSBA.L,3,0,2,c,126,0.00768226146741725,"(3,0,2)"
HSBA.L,1,0,0,c,252,0.007687537622344673,"(1,0,0)"
HSBA.L,0,0,2,c,126,0.0076888540790727156,"(0,0,2)"
HSBA.L,3,0,1,c,252,0.007700537767624141,"(3,0,1)"
HSBA.L,1,0,3,c,126,0.007712625561289332,"(1,0,3)"
HSBA.L,0,0,0,c,252,0.007714254391354551,"(0,0,0)"
HSBA.L,0,0,3,c,21,0.007723915475337572,"(0,0,3)"
HSBA.L,0,0,3,c,252,0.007730462162767644,"(0,0,3)"
HSBA.L,0,0,3,c,126,0.0077305014159936005,"(0,0,3)"
HSBA.L,0,0,2,c,252,0.007734990413546646,"(0,0,2)"
HSBA.L,2,0,0,c,252,0.007737733527143071,"(2,0,0)"
HSBA.L,1,0,3,c,21,0.007737785381110423,"(1,0,3)"
HSBA.L,1,0,2,c,63,0.007743119449653271,"(1,0,2)"
HSBA.L,1,0,0,c,Full,0.007763481276208517,"(1,0,0)"
HSBA.L,0,0,1,c,Full,0.007765733551913879,"(0,0,1)"
HSBA.L,3,0,1,c,126,0.007768431761501604,"(3,0,1)"
HSBA.L,1,0,2,c,Full,0.007772880976560319,"(1,0,2)"
HSBA.L,3,0,0,c,Full,0.00777322880461278,"(3,0,0)"
HSBA.L,0,0,0,c,Full,0.007773247179801717,"(0,0,0)"
HSBA.L,3,0,3,c,Full,0.0077738006704341596,"(3,0,3)"
HSBA.L,0,0,3,c,Full,0.007773886521850326,"(0,0,3)"
HSBA.L,1,0,3,c,Full,0.007773958625085746,"(1,0,3)"
HSBA.L,3,0,1,c,Full,0.007774163733771178,"(3,0,1)"
HSBA.L,2,0,1,c,Full,0.00777462007643278,"(2,0,1)"
HSBA.L,1,0,1,c,Full,0.007775313873470892,"(1,0,1)"
HSBA.L,3,0,2,c,Full,0.007777154535146794,"(3,0,2)"
HSBA.L,0,0,2,c,Full,0.0077788069874132545,"(0,0,2)"
HSBA.L,2,0,3,c,Full,0.007780428121496733,"(2,0,3)"
HSBA.L,2,0,0,c,Full,0.007781718928013553,"(2,0,0)"
HSBA.L,2,0,3,c,252,0.00778407604016466,"(2,0,3)"
HSBA.L,2,0,2,c,Full,0.007790119216125723,"(2,0,2)"
HSBA.L,2,0,2,c,252,0.007795400842463681,"(2,0,2)"
HSBA.L,1,0,2,c,126,0.007795490232755763,"(1,0,2)"
HSBA.L,3,0,1,c,63,0.007798243179584534,"(3,0,1)"
HSBA.L,3,0,2,c,252,0.007799010306315483,"(3,0,2)"
HSBA.L,1,0,3,c,252,0.00782286006468297,"(1,0,3)"
HSBA.L,2,0,3,c,126,0.007832664768202685,"(2,0,3)"
HSBA.L,2,0,2,c,126,0.00783516254005663,"(2,0,2)"
HSBA.L,1,0,2,c,252,0.007849890303439204,"(1,0,2)"
HSBA.L,2,0,0,c,21,0.007868884035328668,"(2,0,0)"
HSBA.L,0,0,2,c,63,0.007874472721901303,"(0,0,2)"
HSBA.L,2,0,1,c,126,0.007887325856698836,"(2,0,1)"
HSBA.L,1,0,1,c,252,0.007899194496393359,"(1,0,1)"
HSBA.L,0,0,0,n,63,0.007905488063990159,"(0,0,0)"
HSBA.L,0,0,0,n,252,0.007905488063990159,"(0,0,0)"
HSBA.L,0,0,0,n,126,0.007905488063990159,"(0,0,0)"
HSBA.L,0,0,0,n,21,0.007905488063990159,"(0,0,0)"
HSBA.L,0,0,0,n,Full,0.007905488063990159,"(0,0,0)"
HSBA.L,1,0,1,c,126,0.007934927434176411,"(1,0,1)"
HSBA.L,1,0,0,n,Full,0.00793829163664159,"(1,0,0)"
HSBA.L,0,0,1,n,Full,0.007941987458189486,"(0,0,1)"
HSBA.L,1,0,0,n,252,0.007944410911278428,"(1,0,0)"
HSBA.L,0,0,1,n,252,0.007950965682156821,"(0,0,1)"
HSBA.L,3,0,3,c,252,0.007951286454067476,"(3,0,3)"
HSBA.L,1,0,1,n,63,0.007951677122404247,"(1,0,1)"
HSBA.L,3,0,1,c,21,0.007954398150583184,"(3,0,1)"
HSBA.L,0,0,2,n,Full,0.007964971104182638,"(0,0,2)"
HSBA.L,1,0,2,n,Full,0.007967199378034025,"(1,0,2)"
HSBA.L,1,0,3,n,Full,0.00796816928496668,"(1,0,3)"
HSBA.L,0,0,3,n,Full,0.007968191330483636,"(0,0,3)"
HSBA.L,3,0,0,n,Full,0.007968852448731583,"(3,0,0)"
HSBA.L,3,0,1,n,Full,0.007968894263462535,"(3,0,1)"
HSBA.L,2,0,0,n,Full,0.007969042379204566,"(2,0,0)"
HSBA.L,2,0,1,n,Full,0.007969305005407493,"(2,0,1)"
HSBA.L,3,0,3,n,Full,0.0079699188902658,"(3,0,3)"
HSBA.L,1,0,1,n,Full,0.007970348307171178,"(1,0,1)"
HSBA.L,2,0,3,n,Full,0.007971346092824598,"(2,0,3)"
HSBA.L,2,0,2,n,Full,0.007971721188812926,"(2,0,2)"
HSBA.L,1,0,0,n,63,0.007973621812316306,"(1,0,0)"
HSBA.L,2,0,0,n,252,0.008001214843816568,"(2,0,0)"
HSBA.L,1,0,2,c,21,0.008002400205199834,"(1,0,2)"
HSBA.L,3,0,2,n,Full,0.008004223709165337,"(3,0,2)"
HSBA.L,3,0,3,c,63,0.008015740786944106,"(3,0,3)"
HSBA.L,1,0,0,n,126,0.008021329899153606,"(1,0,0)"
HSBA.L,2,0,0,n,126,0.008021591361384086,"(2,0,0)"
HSBA.L,0,0,1,n,63,0.008022624799484911,"(0,0,1)"
HSBA.L,0,0,2,n,252,0.00802815812196874,"(0,0,2)"
HSBA.L,0,0,1,n,126,0.008031163550816256,"(0,0,1)"
HSBA.L,2,0,3,c,21,0.00803350202455209,"(2,0,3)"
HSBA.L,3,0,3,c,126,0.00803990832716741,"(3,0,3)"
HSBA.L,2,0,1,c,21,0.008040317998473483,"(2,0,1)"
HSBA.L,0,0,2,n,63,0.00805271630252694,"(0,0,2)"
HSBA.L,2,0,0,n,63,0.008056667845137436,"(2,0,0)"
HSBA.L,1,0,1,n,21,0.008061426742520934,"(1,0,1)"
HSBA.L,1,0,0,n,21,0.008063152187073092,"(1,0,0)"
HSBA.L,2,0,1,n,63,0.008075803369846882,"(2,0,1)"
HSBA.L,2,0,1,n,252,0.008078119112586062,"(2,0,1)"
HSBA.L,3,0,0,n,252,0.00810755302285536,"(3,0,0)"
HSBA.L,0,0,1,n,21,0.008107804146791854,"(0,0,1)"
HSBA.L,3,0,1,n,252,0.008111141705681023,"(3,0,1)"
HSBA.L,1,0,2,n,63,0.008122293493118608,"(1,0,2)"
HSBA.L,0,0,2,n,126,0.008133202068455112,"(0,0,2)"
HSBA.L,1,0,1,n,252,0.008178530487280976,"(1,0,1)"
HSBA.L,0,0,3,n,252,0.008195375891518473,"(0,0,3)"
HSBA.L,3,0,3,c,21,0.008202249000111076,"(3,0,3)"
HSBA.L,2,0,2,c,21,0.008203856181796114,"(2,0,2)"
HSBA.L,3,0,0,n,126,0.008232968533842623,"(3,0,0)"
HSBA.L,2,0,2,n,252,0.008236706103168859,"(2,0,2)"
HSBA.L,2,0,0,n,21,0.00823911165491416,"(2,0,0)"
HSBA.L,1,0,3,n,63,0.00824771422885613,"(1,0,3)"
HSBA.L,2,0,1,n,126,0.008275811419387021,"(2,0,1)"
HSBA.L,0,0,3,n,63,0.008281651523908109,"(0,0,3)"
HSBA.L,3,0,2,n,252,0.008287953937145428,"(3,0,2)"
HSBA.L,1,0,2,n,252,0.008308479857673516,"(1,0,2)"
HSBA.L,2,0,3,n,252,0.008327362580909438,"(2,0,3)"
HSBA.L,3,0,3,n,63,0.008328806257340905,"(3,0,3)"
HSBA.L,3,0,0,n,63,0.008329435727477559,"(3,0,0)"
HSBA.L,1,0,3,n,252,0.008346269725476786,"(1,0,3)"
HSBA.L,2,0,2,n,63,0.008351481991413544,"(2,0,2)"
HSBA.L,2,0,3,n,63,0.0083557046054897,"(2,0,3)"
HSBA.L,1,0,1,n,126,0.008355857485881834,"(1,0,1)"
HSBA.L,0,0,3,n,126,0.008374477982258974,"(0,0,3)"
