Ticker,Day,Date,Forecast_Price,Weight,Weighted_Contribution,CI_Lower,CI_Upper,Signal
LLOY.L,1,2026-03-02,102.38287445651727,0.5,51.191437228258636,99.08572883771916,105.78973485825215,DOWN ▼
LLOY.L,2,2026-03-03,102.53536895705615,0.2,20.50707379141123,97.89690034845805,107.39361358467396,UP ▲
LLOY.L,3,2026-03-04,102.66228532971881,0.1,10.266228532971882,97.00357257674884,108.65109963637425,UP ▲
LLOY.L,4,2026-03-05,102.79998392486601,0.1,10.279998392486602,96.28544154448838,109.75529140685173,UP ▲
LLOY.L,5,2026-03-06,102.93878962734546,0.1,10.293878962734546,95.673275976061,110.75605284587803,UP ▲
