Ticker,p,d,q,Trend,Window,Val_MAPE,Order
BARC.L,3,0,1,c,Full,0.013446020123320157,"(3,0,1)"
BARC.L,3,0,0,c,Full,0.013447726178804832,"(3,0,0)"
BARC.L,0,0,3,c,Full,0.013450677203583127,"(0,0,3)"
BARC.L,1,0,1,n,Full,0.013454614209136106,"(1,0,1)"
BARC.L,1,0,3,c,252,0.013474865263599731,"(1,0,3)"
BARC.L,0,0,3,c,126,0.01347591076459144,"(0,0,3)"
BARC.L,3,0,3,n,252,0.013476882241357981,"(3,0,3)"
BARC.L,2,0,1,n,126,0.013477887461404488,"(2,0,1)"
BARC.L,0,0,3,c,252,0.013478737315148913,"(0,0,3)"
BARC.L,1,0,3,n,Full,0.01347912299379252,"(1,0,3)"
BARC.L,1,0,2,n,252,0.013479578488857016,"(1,0,2)"
BARC.L,0,0,2,c,Full,0.013481151497972629,"(0,0,2)"
BARC.L,0,0,3,n,Full,0.013482483266588366,"(0,0,3)"
BARC.L,2,0,0,c,Full,0.013486351614857851,"(2,0,0)"
BARC.L,0,0,2,n,252,0.013489206371101823,"(0,0,2)"
BARC.L,1,0,1,n,252,0.01348941443660663,"(1,0,1)"
BARC.L,2,0,0,n,252,0.013490303769346474,"(2,0,0)"
BARC.L,3,0,2,n,Full,0.013493167156619317,"(3,0,2)"
BARC.L,3,0,1,n,252,0.013493394574405394,"(3,0,1)"
BARC.L,1,0,2,n,Full,0.013495642285684189,"(1,0,2)"
BARC.L,3,0,0,n,252,0.01349853116140935,"(3,0,0)"
BARC.L,2,0,1,n,Full,0.013498846373828057,"(2,0,1)"
BARC.L,3,0,2,n,252,0.013503606812901414,"(3,0,2)"
BARC.L,2,0,2,n,Full,0.013504703533343806,"(2,0,2)"
BARC.L,3,0,1,n,Full,0.0135086401338864,"(3,0,1)"
BARC.L,3,0,0,n,Full,0.013509077769314556,"(3,0,0)"
BARC.L,0,0,0,c,126,0.013518298581867462,"(0,0,0)"
BARC.L,2,0,3,n,Full,0.01352313458755416,"(2,0,3)"
BARC.L,0,0,2,n,Full,0.013534532559038545,"(0,0,2)"
BARC.L,1,0,0,c,21,0.013535876427035616,"(1,0,0)"
BARC.L,2,0,0,n,Full,0.013543923886727555,"(2,0,0)"
BARC.L,3,0,1,n,126,0.013546023075462533,"(3,0,1)"
BARC.L,0,0,0,c,63,0.013546057654341305,"(0,0,0)"
BARC.L,1,0,3,n,252,0.013553904863470833,"(1,0,3)"
BARC.L,0,0,0,c,Full,0.01356188393343095,"(0,0,0)"
BARC.L,3,0,0,n,126,0.013573426609222132,"(3,0,0)"
BARC.L,0,0,3,n,252,0.013575895526642866,"(0,0,3)"
BARC.L,1,0,2,n,126,0.013584304660541745,"(1,0,2)"
BARC.L,0,0,0,n,Full,0.013592511341594359,"(0,0,0)"
BARC.L,0,0,0,n,63,0.013592511341594359,"(0,0,0)"
BARC.L,0,0,0,n,21,0.013592511341594359,"(0,0,0)"
BARC.L,0,0,0,n,126,0.013592511341594359,"(0,0,0)"
BARC.L,0,0,0,n,252,0.013592511341594359,"(0,0,0)"
BARC.L,0,0,1,n,63,0.01359546976392655,"(0,0,1)"
BARC.L,2,0,3,n,252,0.013598810209631182,"(2,0,3)"
BARC.L,2,0,2,n,126,0.0135998711429837,"(2,0,2)"
BARC.L,2,0,3,c,252,0.013607046429176975,"(2,0,3)"
