Ticker,Day,Date,Forecast_Price,Weight,Weighted_Contribution,CI_Lower,CI_Upper,Signal
HSBA.L,1,2026-03-02,1395.1442409822084,0.5,697.5721204911042,1354.7323674193192,1436.7616069095964,UP
HSBA.L,2,2026-03-03,1395.8613674483847,0.2,279.17227348967697,1339.025963431764,1455.109169161502,UP
HSBA.L,3,2026-03-04,1397.1233886440157,0.1,139.71233886440157,1327.773782591113,1470.0951236489657,UP
HSBA.L,4,2026-03-05,1398.0286159756083,0.1,139.80286159756085,1318.2107647728656,1482.679449536617,UP
HSBA.L,5,2026-03-06,1399.1696258638194,0.1,139.91696258638194,1310.163847094546,1494.2219984785056,UP
